crayola|pearl|Antique Gray|#9F9F9F|0|
crayola|pearl|Apple Orchard|#BF3F3F|0|
crayola|pearl|Berry Parfait|#A43482|0|
crayola|pearl|Black Pearl|#3A3A3A|0|
crayola|pearl|Bubble Gum|#DF9ACA|0|
crayola|pearl|Butternut Squash|#E74F00|0|
crayola|pearl|Caribbean Sea|#67CD95|0|
crayola|pearl|Cloudy Sky|#548CD0|0|
crayola|pearl|Hot Cocoa|#8F482F|0|
crayola|pearl|Iridescent Indigo|#3C32CD|0|
crayola|pearl|Lavender Silk|#6B4D82|0|
crayola|pearl|Leafy Canopy|#94DDCB|0|
crayola|pearl|Liquid Gold|#FFD966|0|
crayola|pearl|Mango Puree|#FF6137|0|
crayola|pearl|Moonlit Pond|#4F2CD0|0|
crayola|pearl|Ocean Foam|#62C9D3|0|
crayola|pearl|Orange Peel|#FF8021|0|
crayola|pearl|Pesto|#5F7B4A|0|
crayola|pearl|Pink Luster|#FFB2E7|0|
crayola|pearl|Red Satin|#9F3434|0|
crayola|pearl|Sea Glass|#C4EA7F|0|
crayola|pearl|Shooting Star|#FFFF65|0|
crayola|pearl|Snow Drift|#F3F3F3|0|
crayola|pearl|Sunset Shimmer|#F79015|0|
