NCS||0520-B40G|#B8FCFF|1|
NCS||0520-B50G|#B8FFFC|1|
NCS||0520-B60G|#B7FFF8|1|
NCS||0520-B70G|#B5FFF4|1|
NCS||0520-B90G|#ABFFD9|1|
NCS||0520-G|#A5FFC8|1|
NCS||0520-G10Y|#BDFFC0|1|
NCS||0520-G20Y|#CDFFB9|1|
NCS||0520-G30Y|#DAFFB4|1|
NCS||0520-G40Y|#E4FFB0|1|
NCS||0520-G50Y|#EDFFB3|1|
NCS||0520-G60Y|#F4FEB5|1|
NCS||0520-G70Y|#FBFFB8|1|
NCS||0520-G80Y|#FFFCB8|1|
NCS||0520-G90Y|#FFF7B6|1|
NCS||0520-R|#FF959C|1|
NCS||0520-R10B|#FF98A5|1|
NCS||0520-R20B|#FF9CB0|1|
NCS||0520-R30B|#FFA2C0|1|
NCS||0520-R40B|#FFA9D4|1|
NCS||0520-R50B|#FFB4F0|1|
NCS||0520-R60B|#E5B0FF|1|
NCS||0520-R70B|#CBB0FF|1|
NCS||0520-R80B|#9CAEFF|1|
NCS||0520-R90B|#A3C1FF|1|
NCS||0520-Y|#FFF3B5|1|
NCS||0520-Y10R|#FEEDB2|1|
NCS||0520-Y20R|#FFE5B0|1|
NCS||0520-Y30R|#FFDDAD|1|
NCS||0520-Y40R|#FFD5AA|1|
NCS||0520-Y50R|#FFCCA7|1|
NCS||0520-Y60R|#FFC2A3|1|
NCS||0520-Y70R|#FFB89F|1|
NCS||0520-Y80R|#FFAC9B|1|
NCS||0520-Y90R|#FFA19B|1|
NCS||0525-R60B|#E09FFE|1|
NCS||0525-R70B|#C1A0FF|1|
NCS||0530-B|#8ED4FF|1|
NCS||0530-B10G|#92E3FF|1|
NCS||0530-B30G|#98F5FF|1|
NCS||0530-B40G|#9AFCFF|1|
NCS||0530-B50G|#9AFFFB|1|
NCS||0530-B60G|#98FFF5|1|
NCS||0530-B70G|#96FFEF|1|
NCS||0530-B90G|#8BFFCB|1|
NCS||0530-G|#84FFB4|1|
NCS||0530-G10Y|#A3FFA7|1|
NCS||0530-G20Y|#BAFF9E|1|
NCS||0530-G30Y|#CBFF96|1|
NCS||0530-G40Y|#DAFE90|1|
NCS||0530-G50Y|#E6FF93|1|
NCS||0530-G60Y|#F0FE96|1|
NCS||0530-G70Y|#F9FE99|1|
NCS||0530-G80Y|#FEFB9A|1|
NCS||0530-G90Y|#FEF598|1|
NCS||0530-R|#FF737C|1|
NCS||0530-R10B|#FF7687|1|
NCS||0530-R20B|#FE7B95|1|
NCS||0530-R30B|#FF81A9|1|
NCS||0530-R40B|#FE89C4|1|
NCS||0530-R50B|#FF95EA|1|
NCS||0530-R80B|#7A92FF|1|
NCS||0530-R90B|#81AAFF|1|
NCS||0530-Y|#FFEF96|1|
NCS||0530-Y10R|#FEE593|1|
NCS||0530-Y20R|#FFDB90|1|
NCS||0530-Y30R|#FFD08D|1|
NCS||0530-Y40R|#FEC589|1|
NCS||0530-Y50R|#FEB986|1|
NCS||0530-Y60R|#FEAC82|1|
NCS||0530-Y70R|#FF9F7E|1|
NCS||0530-Y80R|#FF9079|1|
NCS||0530-Y90R|#FF8279|1|
NCS||0540-B|#72CAFF|1|
NCS||0540-B10G|#76DCFF|1|
NCS||0540-B30G|#7CF2FF|1|
NCS||0540-G|#68FFA3|1|
NCS||0540-G10Y|#8EFF93|1|
NCS||0540-G20Y|#A9FF86|1|
NCS||0540-G30Y|#BFFF7C|1|
NCS||0540-G40Y|#D0FF74|1|
NCS||0540-G50Y|#DFFF77|1|
NCS||0540-G60Y|#ECFF7A|1|
NCS||0540-G70Y|#F8FE7D|1|
NCS||0540-G80Y|#FFFA7E|1|
NCS||0540-G90Y|#FFF27C|1|
NCS||0540-R|#FF5863|1|
NCS||0540-R10B|#FF5B6F|1|
NCS||0540-R20B|#FF5F7F|1|
NCS||0540-R30B|#FF6596|1|
NCS||0540-R90B|#6598FF|1|
NCS||0540-Y|#FFEB7A|1|
NCS||0540-Y10R|#FFDF77|1|
NCS||0540-Y20R|#FFD274|1|
NCS||0540-Y30R|#FFC571|1|
NCS||0540-Y40R|#FFB76D|1|
NCS||0540-Y50R|#FFA96A|1|
NCS||0540-Y60R|#FE9A66|1|
NCS||0540-Y70R|#FF8A62|1|
NCS||0540-Y80R|#FF7A5E|1|
NCS||0540-Y90R|#FF695F|1|
NCS||0550-G10Y|#7BFF81|1|
NCS||0550-G20Y|#9AFF71|1|
NCS||0550-G30Y|#B3FF65|1|
NCS||0550-G40Y|#C8FF5B|1|
NCS||0550-G50Y|#DAFF5E|1|
NCS||0550-G60Y|#E8FF61|1|
NCS||0550-G70Y|#F7FF64|1|
NCS||0550-G80Y|#FFFA65|1|
NCS||0550-G90Y|#FFEF62|1|
NCS||0550-R|#FF424E|1|
NCS||0550-R10B|#FF455B|1|
NCS||0550-Y|#FFE761|1|
NCS||0550-Y10R|#FFD95E|1|
NCS||0550-Y20R|#FFCA5B|1|
NCS||0550-Y30R|#FFBB58|1|
NCS||0550-Y40R|#FFAB55|1|
NCS||0550-Y50R|#FF9B52|1|
NCS||0550-Y60R|#FF8A4E|1|
NCS||0550-Y70R|#FE794B|1|
NCS||0550-Y80R|#FF6747|1|
NCS||0550-Y90R|#FF5549|1|
NCS||0560-G10Y|#6BFF71|1|
NCS||0560-G20Y|#8EFF5F|1|
NCS||0560-G30Y|#A9FF51|1|
NCS||0560-G40Y|#C0FF45|1|
NCS||0560-G50Y|#D4FF47|1|
NCS||0560-G60Y|#E5FF4A|1|
NCS||0560-G70Y|#F6FF4D|1|
NCS||0560-G80Y|#FFF94D|1|
NCS||0560-G90Y|#FFED4B|1|
NCS||0560-R|#FF303E|1|
NCS||0560-Y|#FEE34A|1|
NCS||0560-Y10R|#FFD347|1|
NCS||0560-Y20R|#FFC345|1|
NCS||0560-Y30R|#FFB242|1|
NCS||0560-Y40R|#FFA140|1|
NCS||0560-Y50R|#FE8F3D|1|
NCS||0560-Y60R|#FF7D3A|1|
NCS||0560-Y70R|#FF6A37|1|
NCS||0560-Y80R|#FF5734|1|
NCS||0560-Y90R|#FF4437|1|
NCS||0565-G10Y|#63FF6A|1|
NCS||0565-G50Y|#D2FF3D|1|
NCS||0565-R|#FF2836|1|
NCS||0570-G20Y|#82FF4F|1|
NCS||0570-G30Y|#A1FF3F|1|
NCS||0570-G40Y|#BAFF31|1|
NCS||0570-G60Y|#E2FF35|1|
NCS||0570-G70Y|#F4FF37|1|
NCS||0570-G80Y|#FFF837|1|
NCS||0570-G90Y|#FFEB36|1|
NCS||0570-Y|#FFE035|1|
NCS||0570-Y10R|#FFCF33|1|
NCS||0570-Y20R|#FFBD31|1|
NCS||0570-Y30R|#FEAA2F|1|
NCS||0570-Y40R|#FE982D|1|
NCS||0570-Y50R|#FF852B|1|
NCS||0570-Y60R|#FF7128|1|
NCS||0570-Y70R|#FF5E26|1|
NCS||0570-Y80R|#FE4A24|1|
NCS||0570-Y90R|#FE3628|1|
NCS||0575-G20Y|#7DFF48|1|
NCS||0575-G40Y|#B7FF28|1|
NCS||0575-G60Y|#E1FF2B|1|
NCS||0575-G70Y|#F4FF2D|1|
NCS||0575-G90Y|#FFEA2C|1|
NCS||0580-G30Y|#99FF2E|1|
NCS||0580-Y|#FFDD22|1|
NCS||0580-Y10R|#FFCA20|1|
NCS||0580-Y10R|#FFCA20|1|
NCS||0580-Y20R|#FEB71F|1|
NCS||0580-Y20R|#FEB71F|1|
NCS||0580-Y30R|#FFA31D|1|
NCS||0580-Y40R|#FF901C|1|
NCS||0580-Y50R|#FF7B1B|1|
NCS||0580-Y60R|#FF6719|1|
NCS||0580-Y70R|#FF5318|1|
NCS||0580-Y80R|#FF3E16|1|
NCS||0580-Y90R|#FF2A1B|1|
NCS||0585-Y20R|#FFB416|1|
NCS||0585-Y30R|#FFA015|1|
NCS||0585-Y40R|#FE8C14|1|
NCS||0585-Y50R|#FF7713|1|
NCS||0585-Y60R|#FF6212|1|
NCS||0585-Y70R|#FF4E11|1|
NCS||0585-Y80R|#FF3910|1|
NCS||0603-G40Y|#F7FCEF|1|
NCS||0603-G80Y|#FCFBF0|1|
NCS||0603-R20B|#FCEAED|1|
NCS||0603-R40B|#FCEDF4|1|
NCS||0603-R60B|#F8EFFC|1|
NCS||0603-R80B|#E9EDFC|1|
NCS||0603-Y20R|#FCF8EF|1|
NCS||0603-Y40R|#FCF5ED|1|
NCS||0603-Y60R|#FCF1EB|1|
NCS||0603-Y80R|#FCEDE9|1|
NCS||0804-B50G|#E8F6F6|1|
NCS||0804-G20Y|#ECF6E7|1|
NCS||0804-G60Y|#F4F6E7|1|
NCS||0804-G90Y|#F6F5E7|1|
NCS||0804-R10B|#F6DEE1|1|
NCS||0804-R30B|#F6E1E8|1|
NCS||0804-R50B|#F6E7F3|1|
NCS||0804-R70B|#EBE5F6|1|
NCS||0804-R90B|#E1E8F6|1|
NCS||0804-Y10R|#F6F3E6|1|
NCS||0804-Y30R|#F6EFE5|1|
NCS||0804-Y50R|#F6EBE3|1|
NCS||0804-Y70R|#F6E6E0|1|
NCS||0804-Y90R|#F6E0DE|1|
NCS||0907-B20G|#D9EFF4|1|
NCS||0907-B80G|#D8F4EE|1|
NCS||0907-G20Y|#E1F4DA|1|
NCS||0907-G60Y|#F0F4D9|1|
NCS||0907-G90Y|#F4F1DA|1|
NCS||0907-R10B|#F4CBD0|1|
NCS||0907-R30B|#F4D0DB|1|
NCS||0907-R50B|#F4D9EF|1|
NCS||0907-R70B|#E0D6F4|1|
NCS||0907-R90B|#D0DCF4|1|
NCS||0907-Y10R|#F4EDD8|1|
NCS||0907-Y30R|#F4E8D5|1|
NCS||0907-Y50R|#F4E1D2|1|
NCS||0907-Y70R|#F4D8CF|1|
NCS||0907-Y90R|#F4CECC|1|
NCS||1000-N|#E5E5E5|1|
NCS||1002-B|#E8EEF1|1|
